ShortDescription,label
1,WATER SUPPLY IN YANBELI.
1,"DRINKING WATER SUPPLY KILEMA, TANSANIA"
1,"MORE ADAPTED SEWAGE HOOK-UP, KAFR-EL-SHEIKH"
1,RURAL WATER AND SANITATION PROGRAMME INCLUDING WATERSHED MANAGEMENT PROJECT IN THE DIOCESE OF EMBU
1,INTEGRATED WATERSHED MANAGEMENT RAVELO
1,COST OF PILOT PROJECTS
1,IMPROVE WATER MNGMT
1,SUMINISTRO DE AGUA POTABLE Y ELIMINACIÓN DE AGUAS RESIDUALES EN ÁREAS SUBURBANAS
1,ANKE ENGOTAM CLEAN WATER SUPPLY PROJECT
1,"WATER SUPPLY FOR THE SCHOOL AND THE COMMUNITY, LOITOKITOK, KENYA"
1,MOMBASA/COSTAL AREA
1,BIWAC - STRENGHTENING OF REGIONAL WATER SUPPLIERS THROUGH INCLUSION OF THE BAVARIAN WATER MANAGEMENT ADMINISTRATION
1,PROGRAMME WATER CATCHMENT AREAS
1,WATER AND SANITATION GUADALQUIVIR ( BM )
1,REHABILITATION OF CANAL RAVELO
1,"INCREASING RESILIENCE OF SMALL HOLDER FARMERS TO CLIMATE CHANGE THROUGH IMPROVED ACCESS TO SAFE WATER, SOIL REHABILITATION AND REFORESTATION"
1,WATRE PROJECT KITAGWENDA
1,DECENTRALISED WASTE MANAGEMENT IN THE GOVERNORSHIP KAFR EL SHEIKH
1,"WATER SUPPLY SYSTEM FOR RURAL TOWN SEYO, DANO WOREDA, ETHIOPIA"
1,AL GHADIR WASTE WATER
1,PROGRAMME FOR SUSTAINABLE DRINKING WATER AND SANITARY SERVICES IN SUB-URBAN AREAS
1,WATER AND SANITATION MANAGEMENT
1,WATER WASTEWATER PROGRAMME FOR HOST COMMUNITIES OF REFUGEES II
1,ENVIRONMENT RELATED URBAN INFRASTRUCTURE DEVELOPMENT THROUGH THE NATIONAL CAPITAL REGION PLANNING BOARD
1,SECURING THE WATER SUPPLY IN BONOSHA
1,YEAR-ROUND DRINKING WATER SUPPLY OF RELIJUU PRIMARY SCHOOL
1,WATER SUPPLY/MALINDI REGION
1,"WASTE WATER FACILITIES, AMRIYA DIST."
1,CONGRESS PARTICIPATIONS
1,AGUA POTABLE/ALCANT. CHACO
1,"WATER SUPPLY FOR THE SCHOOL AND THE COMMUNITY, KENYA"
1,"INTEGRATED WATER DEVELOPMENT IN DROUGHT AFFECTED AREAS OF KALAWI, NAPAK AND AMUSIA DISTRICTS, UGANDA"
1,REHABILITATION AND EXTENSTION OF THE WATER SUPPLY IN NYERI REGION
1,"WATER SUPPLY, KERICHO"
1,"PARTICIPATORY WATERSHED MANAGEMENT PROHECT IN MADHYA PRADESH, INDIA"
1,MANAGEMENT AND PROTECTION OF GROUNDWATER RESOURCES III
1,BIWAC - STRENGTHENING OF REGIONAL WATER SUPPLIERS THROUGH INCLUSION OF THE BAVARIAN WATER MANAGEMENT ADMINISTRATION
1,"ENVIRONMENT, CLIMATE AND WATER SECURITY"
1,"SANITATION AND ENVIRONMENT PROTECTION IN BOQUILLA, COLOMBIA"
1,"BUILD FOR TOILETS IN A REFUGEE CAMP IN KIGOMA, TANZANIA"
1,EXPERT INFORMATION SEMINAR FOR SPECIALISTS AND EXECUTIVE STAFF FROM INDIA   SEWAGE WATER AND WASTE MANAGEMENT  IN BAVARIA
1,"DRILLING OF PRODUCTIVE WATER WELL IN AOYALIRA, KARAMOJA REGION, UGANDA"
1,"WATER, SANITATION AND HYGIENE MEASURES IN RURAL AREAS OF GYETA WEREDA, ETHIOPIA"
1,GREEN JOBS - INCREASE OF THE WASTE RECYCLING RATE (SDG 12)
1,LONG-TERM COVERAGE OF THE NEED FOR CLEAN WATER IN THE AREA OF BILAA AND BILO-EJERE.
1,SOLAR WATER PUMP FOR THE SOLAR VILLAGE ARSO AMBA
1,DEVELOPMENT OF THE URBAN WATER AND SANITATION SECTOR IN SOUTHERN SUDAN
1,"INCREASED ACCESS TO WATER SUPPLY, IMPROVED HYGIENE AND ADEQUATE SANITATION FOR FISHER COMMUNITIES AT LAKE VICTORIA, MUKONO DISTRICT, UGANDA"
1,A DYNAMIC INTERACTIVE WATER MAP OF GREATER CHENNAI FACING CLIMATE CHANGE
1,DEVELOPMENT OF ALTERNATIVES FOR LOCAL CLIMATIC RESILIENCE FROM THE EXPERIENCE OF WATER RESOURCE MANAGEMENT IN THE DISTRICT OF APOLO/BOLIVIA
1,RUHUNGA WATER PROJECT
1,SAFE DRINKING WATER FOR DISADVANTAGED GROUPS IN RURAL COLOMBIA
1,WATERWORKS/DISTRIB.TRUNKS
1,PERIAGUA - PROGRAM FOR SUSTAINABLE DRINKING WATER AND SANITARY SERVICES IN SUB-URBAN AREAS II
1,ACCOMPANYING MEASURES TO ENHANCE DEVELOPMENT OF THE WATER SERVICE PROVIDER.
1,"RURAL WATER SUPPLY EAST KILIMAJA, PH. II"
1,PROTECTION OF THE JEITA SPRING
1,NATIONAL SOLID WASTE MANAGEMENT PROGRAMME (NSWMP) (AM)
1,URBAN WATER SUPPLY SONGEA (URGENT MEASURES)
1,RAJASTHAN RURAL WATER SUPPLY
1,"WATER SUPPLY REHAB., KAGERA REGION"
1,"CONSTRUCTION OF AN ELEVATED TANK FOR WATER, MBAGATHI"
1,ENHANCED ACCESS TO RELIABLE WATER SUPPLY AND SANITATION FOR SOCIAL AND ECONOMIC DEVELOPMENT THROUGH WATER SHED MANAGEMENT IN LAISAMIS
1,"BASIC DRINKING WATER SUPPLY, SANITATION AND HYGIENE IN URBAN POOR AREAS OF LUBAGA UGANDA"
1,WATER SUPPLY TABORA
1,KIGALI SEWAGE DRAINS
1,IMPLEMENTATION OF AGENDA 2030 IN BOLIVA
1,WATER SUPPLY MOSHI RURAL ACC. MEASURES
1,THE DIOCESAN DRINKING WATER PROGRAMME / MBULU
1,REPRESENTATION IN DAR ES SALAAM
1,WATER SUPPLY MOSHI RURAL
1,SUPPORTING WOMEN GROUPS TO IMPROVE RESILIENCE AND ADAPTATION TO THE EFFECTS OF CLIMATE CHANGE IN SOUTH WEST UGANDA
1,ADVISORY SERVICES TO THE NATIONAL IRRIGATION PROGRAMME
1,DRINKABLE WATER
1,CONSTRUCTION OF RAIN WATER CISTERNS
1,SUPPORT TO THE WATER AND SANITATION DEVELOPMENT FACILITIES (WSDF)
1,EXPERT INFORMATION SEMINAR FOR SPECIALISTS AND EXECUTIVE STAFF FROM KENIA 'WATER SUPPLY' IN BAVARIA
1,SAFE AND RELIABLE WATER SUPPLY IN MERU DRYLANDS
1,TECHNICAL TRAINING PROGRAM TTP
1,WATER EQUIPMT/SYSTEMS CONSTRUCTION
1,"IMPROVEMENT OF THE WATER AND WASTE WATER SERVICES IN THE GOVERNORATES OF BEHIRA, GHARBIA, SHARKIA AND AND DAMIETTA."
1,REPRESENTATION OF 'HAMBURG WASSER'.
1,"WATER SERVICES TRUST FUND, PHASE II"
1,CAPACITY BUILDING AND EXPANSION OF MUTHAMBI WATER PROJECT / KENYA
1,SEWERAGE DISPOSAL KAFR EL SHEIKH (A.M)
1,URBAN WATER AND SEWERAGE
1,SUMINISTRO DE AGUA POTABLE Y ELIMINACIÓN DE AGUAS RESIDUALES EN ÁREAS SUBURBANAS III
1,EXPERT INFORMATION SEMINAR 'WATER AND SEWAGE' IN BAVARIA FOR SPECIALISTS AND EXECUTIVE STAFF
1,PROGRAMME DEVELOPMENT OF THE WATER SECTOR
1,SUPPORT TO THE REJUVENATION OF GANGA
1,IMPROVEMENT OF THE WATER SUPPLY IN MAKUKUULU
1,DISTRICT WATER SUPPLY PROJECT
1,EXPERT INFORMATION SEMINAR FOR SPECIALISTS AND EXECUTIVE STAFF FROM INDIA  WASTE MANAGEMENT  IN BAVARIA
1,URBAN WATER SUPPLY PROJECT
1,BOREHOLES FOR MRIDI
1,"CONSTRUCTION OF A DRINKING WATER SUPPLY IN THE VILLAGE TINGINYA IN TUNDURU DISTRICT, TANZANIA"
1,PROMOTION OF THE QUALITY INFRASTRUCTURE TO SUPPORT THE MEASUREMENT OF CONSUMPTION AND QUALITY OF DRINKING WATER AND WASTE WATER
1,SUPPORT TO THE ABRA MINCH WATER TECHNOLOGY INSTITUTE (AWTI)
1,STRENGTHENING THE MANAGEMENT CAPACITIES OF ECUATORIAN WATER UTILITIES
1,BIWAC III - TRAINING FOR TRAINEES OF THE BAVARIAN INSTITUTIONAL WATER COOPERATION IN LEBANON
1,CREATING A RECYCLING CONCEPT FOR THE CITY OF KIGALI
1,REHABILITATION OF THE SABAKI WELLFIELD
1,DEVELOPMENT OF THE WATER AND SANITATION SECTOR - WSTF III
1,COMMUNITY BASED ARSENIC MITIGATION THROUGH SELF-HELP GROUPS
1,NEXUS PROGRAM - WATER/ENERGY/FOOD SECURITY
1,WATER SUPPLY SYST. MODERNISATION
1,INTEGRATED RURAL DEVELOPMENT IN WATERSHEDS
1,CAPACITY BUILDING FOR YOUTH IN WATER SUPPLY SYSTEMS IN BOLIVIA
1,NATIONAL SOLID WASTE MANAGEMENT PROGRAMME (NSWMP)
1,TRAINING FOR THE DAILY MAINTENANCE OF WELL DRILLING RIGS / SUDAN (KHARTUM)
1,"WATER, SANITATION AND HYGIENE PROJECT IN BURUNDI"
1,ORGANIZATION OF AN INFORMATION EVENT AND WORKSHOPS ON WATER SUPPLY AND WASTE WATER DISPOSAL WITH PARTICIPATION OF GERMAN AND KENYAN EXPERTS
1,DEVELOPMENT OF THE WATER AND SANITATION SECTOR IN KENYA
1,SECOND GERMAN-KENYAN WATER WEEK
1,EROSION CONTROL PROG.
1,"INTEGRATED PROGRAM TO IMPROVE LIVING CONDITIONS IN GULU, PHASE II"
1,WATER DEVELOPMENT
1,CAIRO SEWERAGE DISPOSAL
1,WATER SUPP./SANI. NZOIA CLUST. PH.I ST.2
1,"WATER SUPPLY SYST. EXT., ARUSHA"
1,DOMESTIC RAINWATER HARVESTING AND SANITATION FOR IMPROVED HEALTH AND PRODUCTION
1,DRINKING WATER ABSTRACTION WITH FOG COLLECTORS
1,"WATER SUPPLY FOR THE RURAL POPULATION, BWAMIRAMIRA, UGANDA"
1,"SUPPORT FOR INFRASTRUCTURE RECONSTRUCTION AND PROMOTION OF SANITATION PRACTICE IN THE REMOTE COMMUNITY SCHOOLS OF RANGAMATI HILL DISTRICT, BANGLADESH"
1,"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION, DIOCESE OF RUHENGERI"
1,ENVIRONMENT RELATED URBAN INFRASTRUCTURE DEVELOPMENT MADHYA PRADESH
1,APPROVISIONNEMENT EN EAU POTABLE DANS 8 COMMUNES RURALES
1,TRAINING FOR INDIAN WATER EXPERTS FROM BANGALORE
1,INTEGRATED PROGRAMM TO IMPROVE THE LIVING CONDITIONS (IPILC) IN GULU
1,SEWAGE DISPOSAL KAFR EL SHEIKH (ACCOMPANYING MEASURE)
1,"IMPROVEMENT OF WASTE WATER, AMRIYA"
1,"RAIN WATER HARVESTING IN WEST-LAIKIPIA, KENIA"
1,WATER SUPPLY AND SANITATIONS - SMALL SYSTEMS
1,WATER SUPPLY WITH PHOTOVOLTAIC PUMP FOR THE MUYANGE HEALTH CENTER AND PUBLIC WATER SUPPLY SPOT
1,PLANNING AND IMPLEMENTATION OF DECENTRALIZED WASTEWATER TREATMENT SYSTEM
1,MANAGEMENT AND IMPROVEMENT OF THE WATER-PURIFICATION INSTALLATIONS IN THE COUNTRY ACCORDING TO MODERN TECHNICAL STANDARDS
1,MEGACITIES - MEGA CHALLENGE INFORMAL DYNAMICS OF GLOBAL CHANGE
1,"WATER AND SANITATION SECTORAL PROGRAMME, PHASE III"
1,WATER SUPPLY KERICHO
1,LUGAGARA WATER SUPPLY IN TANZANIA
1,INFRASTRUCTURE FOR THE MANAGEMENT OF IRRIGATION AND DRINKING WATER OF 3 LEBANESE VILLAGES IN JBEIL AND BATROUN REGIONS
1,PROGRAMA DE EMERGENCIA DE TRINIDAD
1,CONSTRUCTION OF COMPOST TOILET IN THE PRIMARY SCHOOL NYASANJA AS PART OF THE EDUCATIONAL WORKS IN KENYA
1,DRINKINGWATER SUPPLY
1,"RECYCLING-ORIENTED SANITATION IN GATUMBA, BURUNDI"
1,WATER SUPPLY ELDORET II
1,TRANSPORT OF SPONSORED VEHICLES FOR GARBAGE COLLECTION
1,WATER SUPPLY IN NYERERE KOMBRA YOUTH ECO-VILLAGE UVIKIUTA YOUTH CENTRES
1,IMPROVEMENT OF PERI-URBAN BASIC SANITATION
1,"WATER SUPPLY/SEWAGE TREATMENT,SUCRE"
1,STRENGTHENING RESILIENCE AND TRANSITIONAL DEVELOPMENT OF CONFLICT AND DROUGHT AFFECTED COMMUNITIES IN DARFUR
1,MUNICIPAL ENVIRONMENTAL PROTECTION PROGRAMME I
1,BIWAC III - TRAINING FOR TRAINEES OF THE BAVARIAN INSTITUTIONAL WATER COOPERATION IN KENYA
1,MANAGER TRAINING FOR YOUNG TALENTS IN THE WATER SECTOR IN TANZANIA
1,"WATER AND SANITATION PROGRAM FOR THE POOR CHAR PEOPLE IN FARIDPUR, BANGLADESH"
1,"WATER AND SANITATION SECTORAL PROGRAMME, PHASE IV"
1,PROGRAMME FOR SUSTAINABLE DRINKING WATER AND SANITARY SERVICES IN SUB-URBAN AREAS II (PERIAGUA)
1,UNICEF  WASH II
1,WATER SUPPLY BUGESERA SUD (ACC. MEASURE)
1,IMPROVEMENT OF HEALTH AND INCOME BY DRILLING A BOREHOLE
1,BUILDING A DRINKING WATER SUPPLY (WELL) FOR THE ORPHAN HOUSE LITTLE PRINZ IN SHINYALU
1,RURAL WATER SUPPLY/WEST BENGAL
1,WATER FOR KIBAKWE
1,AGRICULTURAL FINANCIAL SERVICES
1,"SUSTAINABLE WATER AND HYGIENE IN RED SEA STATE, SUDAN"
1,"URBAN WATER SUPPLY, MANAGEMENT ADVISORY SERVICES"
1,WATER TRANSPORT
1,CLIMATE-ADAPTED WATER AND SANITATION IN REGIONAL CENTERS
1,WATER AND SANITATION PROGRAM FOR (PERI-)URBAN GROWTH AREAS
1,ENVIRONMENTALLY FRIENDLY URBAN DEVELOPMENT
1,"DEVELOPMENT OF THE WATER SECTOR, II"
1,WATER SUPPLY IN NYERE COMBRA YOUTH ECO-VILLAGE
1,URBAN WATER SUPPLY ARUSHA
1,"SANITATION, KAFR EL SHEIKH"
1,MOYALE INTEGRATED COMMUNITY REHABILITATION WATER PROJECT
1,WATER POLICY
1,BUJUMBURA WATER SUPPLY
1,REHABILITATION AND EXTENSION OF WATER SUPPLY AND SANITATION IN SECONDARY TOWNS.
1,"PREPARATION AND IMPLEMENTATION OF BNS-SEMINARS AT THE DEWATS-KONFERENZ IN NAGPUR, MAHARASHTRA"
1,"BUILDING A DEEP DRILLING WELL IN NIKONI, UGANDA, MASAKA DISTRICT"
1,DEVELOPMENT OF THE WATER SECTOR II
1,FIELD DRAINAGE AND OPEN IRRIGATION CHANNELS
1,PERIAGUA - PROGRAMME FOR SUSTAINABLE DRINKING WATER AND SANITARY SERVICES IN SUB-URBAN AREAS III
1,"WATER SUPPLY, POTOSI"
1,INDO-GERMAN BILATERAL PROJECT WATERSHED MANAGEMENT
1,DEVELOPMENT OF WATER RESOURCES SECTOR
1,SECTOR PROGRAMME WATER AND SANITATION
1,"MEDA-EFFICIENT MANAGEMENT OF WASTEWATER, IT'S TREATMENT AND REUSE"
1,IMPROVEMENT OF THE WATER SUPPLY IN REFUGEE CAMPS AND TAKING UP MUNICIPALITIES IN BENISHANGUL-GUMUZ
1,"DRINKING WATER,  HAI DISTRICT"
1,SUPPLY OF DRINKING WATER AND PEACE BUILDING COMMUNITY DEVELOPMENT IN THE CATHOLIC DIOCESE OF MARSABIT
1,CANAL PROTECTION
1,WASSERVERSORGUNG SUCRE III
1,"WATER MANAGEMENT SONI KWANGWENDA AND CONSTRUCTION PRIMARY SCHOOL IN MNAZI, DISTRICT LUSHOTO"
1,SUPPORT FOR NATIONAL URBAN SANITATION POLICY PHASE II (SNUSP)
1,WATER SUPPLY A. SANITATION PROGR.KAMPALA
1,URBAN WATER SUPPLY
1,PROGRAM MUNICIPAL WATER /SANITATION (7 CITIES UPGRADING PROGRAM)
1,URBAN WATER SECTOR DEVELOPMENT IN SOUTHERN SUDAN
1,CONSTRCUTION OF SIX WELLS IN SIX VILLAGES IN UGANDA
1,PROMOTION OF THE QUALITY INFRASTRUCTURE TO SUPPORT THE MEASUREMENT OF CONSUMPTION AND QUALITY OF DRINKING WATER
1,SECTOR PROGRAM WATER FOR SMALL COMMUNITIES
1,SUSTAINABLE SANITATION FOR DAREWADI VILLAGE
1,WATER TANKS FOR TANZANIA
1,WATER FOR THE NOMADS IN NORTHERN KENYA
1,NAIROBI WATER DISTRIBUTION PROGRAMME
1,"WATER SUPPLY, TABORA"
1,"IMPROVEMENT OF WATER, HYGIENE AND SANITATION CONDITIONS IN THE WUCHALE AND JIDA DISTRICTS (WOREDAS) IN NORTH SHEWA ZONE OF THE OROMIYA REGIONAL STATE"
