"";"DonorName";"RecipientName";"DonorCode";"RecipientCode";"IncomegroupName";"USD_Commitment_Defl";"USD_Received_Defl";"ShortDescription";"AgencyName";"FlowCode";"SectorCode";"ProjectTitle";"PurposeName";"SectorName";"ChannelName";"ChannelReportedName";"ExpectedStartDate";"CompletionDate";"LongDescription";"CommitmentDate";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2"
443188;"Germany";"Egypt";"5";"142";"LMICs";3.92899;0.0;"NATIONAL DRAINAGE PROJECT II";"Kreditanstalt für Wiederaufbau";"11";"140";"NATIONAL DRAINAGE PROJECT II";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"2005-12-29";"2006-12-29";"";"2005-09-18";0.0;0.0;75523569.0;1001450.0
443200;"Germany";"Egypt";"5";"142";"LMICs";0.0701605;0.0;"EDUC./TRNG:WATER SUPPLY & SANITATION";"Federal states and local governments";"11";"140";"FORTBILDUNGSSEMINAR ABWASSERBEHANDLUNG - ÄGYPTEN 2005";"Education and training in water supply and sanitation";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"2005-11-20";"2005-12-03";"";"2005-12-31";0.0;0.0;75523569.0;1001450.0
443220;"Germany";"Egypt";"5";"142";"LMICs";0.05629680000000001;"";"WATER RESOURCES POLICY/ADMINISTRATIVE MANAGEMENT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"PROJEKT SWAMP 2002-2005";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;75523569.0;1001450.0
443221;"Germany";"Egypt";"5";"142";"LMICs";0.0689678;"";"WATER RESOURCES POLICY/ADMINISTRATIVE MANAGEMENT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"REFORM DES WASSERSEKTORS MENA";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;75523569.0;1001450.0
443222;"Germany";"Egypt";"5";"142";"LMICs";0.00520591;"";"WATER RESOURCES POLICY/ADMINISTRATIVE MANAGEMENT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"SONDERPOSITION KONGRESSREISEN";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;75523569.0;1001450.0
443223;"Germany";"Egypt";"5";"142";"LMICs";0.037269300000000005;"";"WATER SUPPLY AND SANITATION - LARGE SYSTEMS";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"REFORM DES WASSERSEKTORS MENA";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;75523569.0;1001450.0
443224;"Germany";"Egypt";"5";"142";"LMICs";0.0885566;"";"WASTE MANAGEMENT/DISPOSAL";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Waste management/disposal";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;75523569.0;1001450.0
443225;"Germany";"Egypt";"5";"142";"LMICs";0.00770363;"";"WASTE MANAGEMENT/DISPOSAL";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Waste management/disposal";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;75523569.0;1001450.0
443226;"Germany";"Egypt";"5";"142";"LMICs";0.0991789;"";"WASTE MANAGEMENT/DISPOSAL";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"UMWELTMANAGEMENT II";"Waste management/disposal";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;75523569.0;1001450.0
443227;"Germany";"Egypt";"5";"142";"LMICs";0.042292800000000005;"";"EDUCATION AND TRAINING IN WATER SUPPLY AND SANITATION";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"04 EPRO MIDDLEEAST";"Education and training in water supply and sanitation";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;75523569.0;1001450.0
443228;"Germany";"Egypt";"5";"142";"LMICs";0.409275;"";"EDUCATION AND TRAINING IN WATER SUPPLY AND SANITATION";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"04 EPRO MIDDLEEAST";"Education and training in water supply and sanitation";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;75523569.0;1001450.0
445722;"Germany";"Burundi";"5";"228";"LDCs";23.7049;"";"PROGRAMME D'EAU";"Kreditanstalt für Wiederaufbau";"11";"140";"PROGRAMM D'EAU";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"2006-04-10";"2006-04-10";"";"2005-11-29";0.0;0.0;7364862.0;27830.0
445733;"Germany";"Burundi";"5";"228";"LDCs";5.61284;"";"WATER PROGRAM";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"WATER PROGRAM";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;7364862.0;27830.0
445734;"Germany";"Burundi";"5";"228";"LDCs";0.00453237;"";"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION";"Federal states and local governments";"11";"140";"SECURING DRINKING WATER SUPPLY SYSTEM";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"2006-02-01";"2006-05-31";"";"2005-12-31";0.0;0.0;7364862.0;27830.0
449582;"Germany";"Ethiopia";"5";"238";"LDCs";0.0525362;0.0;"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"TRINKWASSERVERSORGUNG UND HYGIENEAUFKLÄRUNG, BOLOSO SORIE, ÄTHIOPIEN";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;76346311.0;1104300.0
449598;"Germany";"Ethiopia";"5";"238";"LDCs";0.373829;0.0;"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"WASSERVERSORGUNG FÜR DIE LÄNDLICHE KLEINSTADT ALGAE/ÄTHIOPIEN";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;76346311.0;1104300.0
449620;"Germany";"Ethiopia";"5";"238";"LDCs";0.0925839;"";"WATER RESOURCES POLICY/ADMINISTRATIVE MANAGEMENT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;76346311.0;1104300.0
455038;"Germany";"Rwanda";"5";"266";"LDCs";0.159363;0.0;"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION";"Federal states and local governments";"11";"140";"WASSERPROJEKTE IM PARTERLAND RUANDA";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Other";"Other";"2005-01-01";"2005-12-31";"";"2005-12-31";0.0;0.0;8840215.0;26340.0
455044;"Germany";"Rwanda";"5";"266";"LDCs";0.0653195;0.0;"DEVELOPMENT EXPERT";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"DEVELOPMENT WORKER";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;8840215.0;26340.0
458212;"Germany";"Sudan";"5";"278";"LDCs";0.0364695;0.0;"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"BAU EINER WASSERSTELLE, NARUS/SUDAN";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;30949516.0;0.0
459217;"Germany";"Tanzania";"5";"282";"LDCs";8.55959;"";"RURAL WATER SUPPLY EAST KILIMAJA, PH. II";"Kreditanstalt für Wiederaufbau";"11";"140";"RURAL WATER SUPPLY EAST KILIMAJA, PH. II";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"2006-02-08";"2006-03-08";"";"2005-07-12";0.0;0.0;38450320.0;947300.0
459218;"Germany";"Tanzania";"5";"282";"LDCs";0.543043;"";"URBAN WATER SUPPLY (ACCOMP. MEASURE)";"Kreditanstalt für Wiederaufbau";"11";"140";"URBAN WATER SUPPLY (ACCOMP. MEASURE)";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-07-12";0.0;0.0;38450320.0;947300.0
459219;"Germany";"Tanzania";"5";"282";"LDCs";0.42096300000000003;"";"RURAL WATER SUPPLY EAST KILIMAN.";"Kreditanstalt für Wiederaufbau";"11";"140";"RURAL WATER SUPPLY EAST KILIMAN., PH. II";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"2006-02-08";"2006-02-08";"";"2005-07-12";0.0;0.0;38450320.0;947300.0
459220;"Germany";"Tanzania";"5";"282";"LDCs";16.0148;0.0;"URBAN WATER SUPPLY II";"Kreditanstalt für Wiederaufbau";"11";"140";"URBAN WATER SUPPLY II";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"2005-12-01";"2005-12-01";"";"2005-07-12";0.0;0.0;38450320.0;947300.0
459222;"Germany";"Tanzania";"5";"282";"LDCs";0.14760399999999999;0.0;"DEVELOPMENT EXPERT";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"DEVELOPMENT WORKER";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;38450320.0;947300.0
459251;"Germany";"Tanzania";"5";"282";"LDCs";0.011801;0.0;"TRANSPORT OF SPONSORED VEHICLES FOR GARBAGE COLLECTION";"Federal states and local governments";"11";"140";"TRANSPORT OF SPONSORED VEHICLES FOR GARBAGE COLLECTION";"Waste management/disposal";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"2005-01-01";"2005-01-31";"";"2005-12-31";0.0;0.0;38450320.0;947300.0
459258;"Germany";"Tanzania";"5";"282";"LDCs";0.0140321;0.0;"WATER SUPPLY IN NYERERE KOMBRA YOUTH ECO-VILLAGE UVIKIUTA YOUTH CENTRES";"Federal states and local governments";"11";"140";"WATER SUPPLY IN NYERERE KOMBRA YOUTH ECO-VILLAGE UVIKIUTA YOUTH CENTRES";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"2005-07-01";"2005-12-31";"";"2005-12-31";0.0;0.0;38450320.0;947300.0
459265;"Germany";"Tanzania";"5";"282";"LDCs";0.104216;0.0;"DEVELOPMENT EXPERT";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"DEVELOPMENT WORKER";"Education and training in water supply and sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;38450320.0;947300.0
459276;"Germany";"Tanzania";"5";"282";"LDCs";0.00813862;0.0;"BUILD FOR TOILETS IN A REFUGEE CAMP IN KIGOMA, TANZANIA";"Federal states and local governments";"11";"140";"BUILD FOR TOILETS IN A REFUGEE CAMP IN KIGOMA, TANZANIA";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"2005-01-01";"2005-12-31";"";"2005-12-31";0.0;0.0;38450320.0;947300.0
459279;"Germany";"Tanzania";"5";"282";"LDCs";0.30449699999999996;0.0;"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"PILOTPHASE EINES LÄNDLICHEN WASSERVERSORGUNGSPROGRAMMES IN DER DIÖZESE DODOMA";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;38450320.0;947300.0
459280;"Germany";"Tanzania";"5";"282";"LDCs";0.38212199999999996;0.0;"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"TRINKWASSERVERSORGUNG KILEMA, TANSANIA";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;38450320.0;947300.0
459307;"Germany";"Tanzania";"5";"282";"LDCs";0.0647021;"";"WATER RESOURCES POLICY/ADMINISTRATIVE MANAGEMENT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTES GRUNDWASSER";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;38450320.0;947300.0
459308;"Germany";"Tanzania";"5";"282";"LDCs";0.217498;"";"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"AUFBAU EINER WASSERVERSORGUNG IN SELBSTHILFE IN DEN GEMEINDEN KILOMENI UND SOFE IN DER DIÖZESE SAME";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;38450320.0;947300.0
460532;"Germany";"Uganda";"5";"285";"LDCs";0.229214;0.0;"DEVELOPMENT EXPERT";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"DEVELOPMENT WORKER";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;27684585.0;241550.0
460535;"Germany";"Uganda";"5";"285";"LDCs";17.651;0.0;"WATER SUPPLY AND SANITATION KAMPALA";"Kreditanstalt für Wiederaufbau";"11";"140";"WATER SUPPLY AND SANITATION KAMPALA PH.I";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"2005-11-15";"2006-04-21";"";"2005-08-25";0.0;0.0;27684585.0;241550.0
460577;"Germany";"Uganda";"5";"285";"LDCs";0.106405;"";"WATER SUPPLY AND SANITATION - LARGE SYSTEMS";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;27684585.0;241550.0
460578;"Germany";"Uganda";"5";"285";"LDCs";0.23153;"";"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"INTEGRIERTES PROGRAMM ZUR WASSERVERSORGUNG UND WASSERENTSORGUNG FÜR DIE ARME URBANE BEVÖLKERUNG IN KAMPALA";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;27684585.0;241550.0
470128;"Germany";"Bolivia";"5";"428";"LMICs";0.030646100000000003;"";"WATER RESOURCES POLICY/ADMINISTRATIVE MANAGEMENT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;9232306.0;1098580.0
470129;"Germany";"Bolivia";"5";"428";"LMICs";0.0543604;"";"WATER RESOURCES POLICY/ADMINISTRATIVE MANAGEMENT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;9232306.0;1098580.0
470130;"Germany";"Bolivia";"5";"428";"LMICs";0.126191;"";"WATER RESOURCES POLICY/ADMINISTRATIVE MANAGEMENT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;9232306.0;1098580.0
470131;"Germany";"Bolivia";"5";"428";"LMICs";0.0424471;"";"RIVER BASINS DEVELOPMENT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"CUENCA-MANAGEMENT";"River basins development";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;9232306.0;1098580.0
472960;"Germany";"Colombia";"5";"437";"UMICs";0.0355012;"";"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;42647723.0;1141750.0
472961;"Germany";"Colombia";"5";"437";"UMICs";0.0923172;"";"RIVER BASINS DEVELOPMENT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"CUENCA-MANAGEMENT";"River basins development";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;42647723.0;1141750.0
484595;"Germany";"India";"5";"645";"LMICs";0.0557355;"";"RAIL TRANSPORT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;1147609927.0;3287260.0
484620;"Germany";"India";"5";"645";"LMICs";0.00606187;"";"AGRICULTURAL FINANCIAL SERVICES";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"WATERSHED MANAGEMENT";"Water resources conservation (including data collection)";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;1147609927.0;3287260.0
484630;"Germany";"India";"5";"645";"LMICs";0.0876025;"";"RAIL TRANSPORT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Water resources conservation (including data collection)";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;1147609927.0;3287260.0
484631;"Germany";"India";"5";"645";"LMICs";0.187722;"";"WATER TRANSPORT";"Federal states and local governments";"11";"140";"KÜSTENZONEN UND ÖKOSYSTEME BMBF";"Water resources conservation (including data collection)";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"2005-01-01";"2008-01-01";"";"2005-12-31";0.0;0.0;1147609927.0;3287260.0
484632;"Germany";"India";"5";"645";"LMICs";0.00733879;"";"INFECTIOUS DISEASE CONTROL";"Federal states and local governments";"11";"140";"FACT FINDING MISSION- DAAD";"Water resources conservation (including data collection)";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"2005-05-19";"2006-12-31";"";"2005-12-31";0.0;0.0;1147609927.0;3287260.0
484633;"Germany";"India";"5";"645";"LMICs";0.051189099999999994;"";"BASIC DRINKING WATER SUPPLY AND BASIC SANITATION";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"VERBESSERUNG DER TRINK- UND ABWASSERVERSORGUNG IN BYLAKUPE, KARNATAKA, INDIEN";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;1147609927.0;3287260.0
484634;"Germany";"India";"5";"645";"LMICs";0.04138069999999999;"";"ROAD TRANSPORT";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"GEWINNUNG VON REGENWASSER ALS TRINKWASSER IN ZWEI KÜSTENDÖRFERN, ALLEPEY, KERALA, PUNNAPRA UND MARARIKULAM /INDIEN";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;1147609927.0;3287260.0
484635;"Germany";"India";"5";"645";"LMICs";0.0273486;"";"RAIL TRANSPORT";"Federal states and local governments";"11";"140";"PLANING AND IMPLEMENTATION OF DECENTRALIZED WASTEWATER TREATMENT SYSTEMS AND COMMUNITY-BASED SANITATION";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"2005-05-15";"2005-12-31";"";"2005-12-31";0.0;0.0;1147609927.0;3287260.0
484636;"Germany";"India";"5";"645";"LMICs";0.06352340000000001;"";"ROAD TRANSPORT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Waste management/disposal";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;1147609927.0;3287260.0
484761;"Germany";"India";"5";"645";"LMICs";0.0302252;"";"ROAD TRANSPORT";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"INTEGRIERTE FACHKRAFT";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Public Sector Institutions";"Public sector";"";"";"";"2005-12-31";0.0;0.0;1147609927.0;3287260.0
487420;"Germany";"Bangladesh";"5";"666";"LDCs";0.43120699999999995;"";"WATER SUPPLY AND SANITATION - LARGE SYSTEMS";"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung";"11";"140";"INTEGRIERTES PROJEKT ZUR REINIGUNG ARSENVERSEUCHTEN TRINKWASSERS UND FÖRDERUNG ÖFFENTLICHER GESUNDHEIT, KUSHITA UND MEHERPUR, BANGLADESH";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"Non-Governmental Organisation (NGO) and Civil Society";"NGOs and civil society";"";"";"";"2005-12-31";0.0;0.0;139035505.0;148460.0
494817;"Germany";"India";"5";"645";"LMICs";0.07708;"";"GOVERNMENT CONTRIBUTIONS VIA NGO";"Foundations/Societies/Misc. (non federal)";"11";"140";"";"Education and training in water supply and sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2002-12-31";0.0;0.0;1093317189.0;3287260.0
494824;"Germany";"India";"5";"645";"LMICs";1.01041;"";"WASTE MANAGEMENT/DISPOSAL";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"SONDERABFALLENTSORGUNG KARNATAKA";"Waste management/disposal";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2002-12-31";0.0;0.0;1093317189.0;3287260.0
494845;"Germany";"India";"5";"645";"LMICs";0.06660060000000001;"";"GOVERNMENT CONTRIBUTIONS VIA NGO";"Foundations/Societies/Misc. (non federal)";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2002-12-31";0.0;0.0;1093317189.0;3287260.0
494855;"Germany";"India";"5";"645";"LMICs";3.68945;"";"FINANCIAL PARTICIPATION OF WATER SUPPLY SYSTEMS";"Kreditanstalt für Wiederaufbau";"11";"140";"RURAL WATER SUPPLY WEST BENGAL";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"GOVT OF INDIA MINISTRY";"1996-11-01";"2003-01-01";"";"2002-11-01";0.0;0.0;1093317189.0;3287260.0
494866;"Germany";"India";"5";"645";"LMICs";0.00360861;"";"FED. STATES CONTRIB.:  WATER";"Federal states and local governments";"11";"140";"FED. STATES CONTRIB.:  WATER";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2002-12-31";0.0;0.0;1093317189.0;3287260.0
502853;"Germany";"Egypt";"5";"142";"LMICs";2.1651700000000003;"";"STRATEGIC ADVISORY SERVICE OF MINISTRY OF WATER RESOURCES";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"STRATEGIC SUPPORT FOR THE MINISTRY OF WATER RESOURCES AND IRRIGATION";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2002-12-31";0.0;0.0;71485043.0;1001450.0
502854;"Germany";"Egypt";"5";"142";"LMICs";3.24775;"";"WASTE MANAGEMENT/DISPOSAL";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"PRIVATISIERUNG ABFALL IN 2 GOUVERNOURATEN";"Waste management/disposal";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2002-12-31";0.0;0.0;71485043.0;1001450.0
504665;"Germany";"Ethiopia";"5";"238";"LDCs";0.12288099999999999;"";"GOVERNMENT CONTRIBUTIONS VIA NGO";"Foundations/Societies/Misc. (non federal)";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2002-12-31";0.0;0.0;70142091.0;1104300.0
504680;"Germany";"Ethiopia";"5";"238";"LDCs";1.94865;"";"SUPPORT TO THE ABRA MINCH WATER TECHNOLOGY INSTITUTE (AWTI)";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"SUPPORT TO THE ABRA MINCH WATER TECHNOLOGY INSTITUTE (AWTI)";"Education and training in water supply and sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2002-12-31";0.0;0.0;70142091.0;1104300.0
504702;"Germany";"Ethiopia";"5";"238";"LDCs";0.0590369;"";"FED. STATES CONTRIB.: WATER";"Federal states and local governments";"11";"140";"FED. STATES CONTRIB.:  WATER";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2002-12-31";0.0;0.0;70142091.0;1104300.0
505706;"Germany";"Kenya";"5";"248";"LMICs";0.539849;"";"GOVERNMENT CONTRIBUTIONS VIA NGO";"Foundations/Societies/Misc. (non federal)";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2002-12-31";0.0;0.0;33751739.0;580370.0
